pickup_taxizone_id,pickup_hour,pickup_weekday,average_fare,total_rides,total_fare,average_trip_distance,total_trip_distance
1.0,11,0,79.06150684931507,146,11542.98,2.4524657534246574,358.06
1.0,11,1,81.63163793103449,116,9469.27,2.92948275862069,339.82000000000005
1.0,11,2,72.85685714285714,140,10199.96,2.304285714285714,322.59999999999997
1.0,11,3,74.16222222222221,144,10679.359999999999,3.456180555555555,497.68999999999994
1.0,11,4,77.75444444444445,162,12596.22,2.4301234567901235,393.68
1.0,11,5,79.52118055555555,144,11451.05,1.383888888888889,199.28
1.0,11,6,78.95354430379747,237,18711.99,1.7312658227848101,410.31
1.0,12,0,83.54482412060301,199,16625.42,1.3039195979899498,259.48
1.0,12,1,82.32329479768786,173,14241.93,1.2290751445086705,212.63
1.0,12,2,76.32042105263157,190,14500.88,2.1344736842105263,405.55
1.0,12,3,80.55198312236288,237,19090.820000000003,1.8945991561181434,449.02
