pickup_taxizone_id,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
72.0,25.24807707069934,13027,328906.7000000003,5.988093191064712,2.531802532978845
73.0,22.783281481481485,1350,30757.430000000004,5.478177777777777,5.384435241387328
74.0,10.819881470188315,1146547,12405502.640000002,2.4376319505436777,8.067998920004557
75.0,10.72577588894887,2087831,22393607.40000001,2.3510688365102337,11.512347994037388
76.0,27.456147949790825,29875,820252.4200000009,6.640455564853556,2.903371422559666
77.0,26.159788742798042,6769,177075.60999999996,6.400744570837643,3.6467888157064827
78.0,24.22937543761378,7141,173021.97,5.818498809690518,3.069727629400702
79.0,11.20164894270772,8258407,92507776.04000004,2.398946013438179,16.4230479150924
80.0,14.095714668114123,134489,1895718.5700000003,3.3875867914848046,13.71942397228563
81.0,29.77696383678205,5171,153976.67999999996,7.902030555018372,1.858369807973687
82.0,17.65087767787642,88643,1564626.7499999995,3.5654619090057866,5.668627581268518
83.0,14.304929730046261,34154,488570.57,3.239815834162908,5.075621114126822
84.0,48.27229166666666,144,6951.209999999999,7.967569444444444,4.6755985708162004
85.0,21.78725119744545,11274,245629.47,5.290027496895512,3.9687692520321374
86.0,51.71204308313698,2971,153636.47999999998,13.802712891282399,1.5678376714176139
87.0,16.93977008221471,2265288,38373457.89,4.354023898947944,16.012578566919544
88.0,17.863240931379366,1187529,21213116.640000008,4.663914110729086,14.769313786544934
89.0,20.43490322066751,37663,769639.7600000005,5.036498951225339,5.683472959770163
90.0,10.692893541681427,5433535,58100211.309999995,2.039520557059076,16.8164659372618
91.0,26.386209537069295,14365,379037.90000000043,6.505246780368954,2.4757020940116448
92.0,23.38956028026094,16556,387237.5600000001,5.716439357332691,4.891496188800881
93.0,45.636214949781575,53566,2444549.4899999998,9.722396669529184,14.386798987863644
94.0,21.01467638483965,3430,72080.34,4.807128279883381,3.1433446848616544
95.0,19.42600444463081,47698,926581.5600000004,4.822683969977776,7.489454041580868
96.0,26.0724543946932,1206,31443.379999999997,4.062479270315091,8.379163346272078
97.0,13.33155120785518,272839,3637367.099999999,3.185132880563263,11.74161249330435
98.0,28.461103306994435,3417,97251.58999999998,6.734161545215103,3.4375693306365296
99.0,45.1215625,64,2887.78,12.27734375,7.215012477587864
100.0,11.729164003103229,6169054,72357846.10999998,2.3405213198004073,13.878514778749874
101.0,34.569718796250605,4054,140145.63999999996,8.915545140601873,2.860908719731703
102.0,23.42072508896797,4496,105299.57999999999,5.3593127224199275,4.778888879027954
103.0,11.5,1,11.5,1.78,0.0
104.0,23.666666666666668,3,71.0,7.963333333333334,16.78569105691057
105.0,16.904719999999998,375,6339.2699999999995,4.385013333333333,13.93289925627079
106.0,13.41858450673526,45878,615617.8200000002,3.19242643532848,12.925819973647501
107.0,10.79037990606131,7041188,75977093.51000002,2.137160135477135,16.73477254718069
108.0,31.504864420706653,3651,115024.26,6.956499589153655,4.3978464275470674
109.0,46.6696449704142,169,7887.169999999999,7.112840236686392,6.118899875060311
110.0,15.11111111111111,9,136.0,4.0377777777777775,7.705786423027803
111.0,14.717422680412373,679,9993.130000000001,2.901119293078056,12.89656967158214
112.0,13.247518874690563,129671,1717819.02,3.161693285314374,13.804385474292326
113.0,10.772188948733042,4765155,51331150.03,2.0975053969912874,16.55535020488713
114.0,11.355386972885212,4028060,45740180.050000004,2.3813515414368283,16.51830123388406
115.0,29.872272727272726,572,17086.94,6.767587412587412,8.015424722349627
116.0,13.089934814313919,349003,4568426.5200000005,3.130642172130324,9.71177985933019
117.0,49.90132363378281,2818,140621.92999999996,12.037796309439319,2.8224064338175205
118.0,44.674855967078194,729,32567.97,12.14488340192044,6.320935283874433
119.0,19.592633523164537,12994,254586.68,4.819635985839618,5.05760699012674
120.0,25.604407856730216,1731,44321.23,5.119191218948584,11.09302152609825
121.0,25.973615944321413,6322,164205.19999999998,6.624876621322366,3.531919996016909
122.0,33.099191637630646,2870,94994.67999999996,8.113783972125436,2.44155565797955
123.0,21.33483890651696,8194,174817.66999999998,4.957599463021723,4.4303843212208625
124.0,40.49818138272392,6263,253640.10999999993,9.125430304965672,6.643137747756084
125.0,12.09482392817882,1746560,21124335.68,2.57720804323928,17.250021064628022
126.0,22.624709094332516,5311,120159.83,5.542481641875352,4.850615070303787
127.0,17.10995611073599,29620,506796.9,4.184360567184335,8.396223761326187
128.0,21.08775800711744,2248,47405.280000000006,5.0011343416370115,7.624316001732133
129.0,14.169182648457356,164458,2330235.44,3.331463534762676,5.420737635774029
130.0,40.037205255120845,37982,1520693.13,10.288850508135432,9.693129266793957
131.0,27.983754220121533,5924,165775.75999999995,7.115052329507091,3.716533996636824
132.0,45.834581085954504,8032877,368183552.20999897,15.574068405379593,12.020926523168319
133.0,17.87704332059833,15443,276075.18,4.230843100433854,8.109440755135804
134.0,30.202994084026873,19946,602428.92,5.971674019853604,9.255072096038445
135.0,27.442425970204162,10874,298408.94000000006,7.572355159095089,4.910344047648567
