dropoff_taxizone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
32.0,71011.62000000001,55328.490000000005,38806.2,31035.0,31414.32,21432.530000000002,15577.710000000001,19340.350000000002,20261.43,27697.57,24017.840000000004,24486.33,26132.82,29961.45,32701.16,43586.78,51886.65,50286.5,57343.18,61085.58999999999,60058.619999999995,64346.79,58876.3,72173.44,988848.67
33.0,1054816.36,587017.24,292435.68000000005,165021.83,107694.79999999997,66550.68000000001,158361.74,278693.14999999997,469829.51000000007,431364.85,422319.11000000004,464844.14999999997,514095.3,579733.18,672246.69,723135.5,752679.2000000001,858086.1699999999,1115958.48,1248853.23,1391523.5,1682938.94,1731264.6500000001,1496474.69,17265938.630000003
34.0,20768.09,14101.099999999999,8557.0,5928.61,6576.7,25766.48,33068.85,34790.3,48207.02,53022.619999999995,42339.39,37447.27,35494.83,34965.520000000004,35523.899999999994,33769.91,28787.640000000003,26231.069999999996,30608.09,29592.440000000002,22575.1,22279.769999999997,22268.2,22819.0,675488.8999999999
35.0,107162.8,84563.68000000001,52153.10999999999,39908.399999999994,40023.83,28073.289999999997,27821.75,28620.489999999998,44523.64000000001,52636.03,55303.46,56080.27,58233.21000000001,62281.99,62714.9,72358.25,73420.07,79482.28,102251.62999999999,93347.47999999998,78205.67,88834.88999999998,90802.29000000001,96693.15999999999,1575496.5699999998
36.0,652113.0100000001,564868.86,456362.00000000006,365154.60000000003,359926.39999999997,174784.61,101537.59,87606.3,93825.82,92374.25,103323.20999999999,105275.56999999999,106908.07,120161.95999999999,139731.46,148462.48,155628.53,173551.04,223799.94999999998,262495.31,281574.02999999997,342578.68999999994,423900.43000000005,544883.36,6080827.53
37.0,932179.3700000001,795422.27,631305.6300000001,524047.4099999999,511504.61999999994,263182.0,159137.91,133199.48,146286.33000000002,146845.94,156747.21,170898.69,179382.79,204232.06000000003,225739.99999999997,250354.02,266076.13,288846.51,361548.04000000004,405471.19999999995,452144.72000000003,554315.42,692390.6499999999,836966.8199999998,9288225.219999999
38.0,31628.680000000004,22660.07,12931.87,6165.12,6546.75,10264.35,23287.85,24870.929999999997,31922.57,37133.450000000004,38580.340000000004,35169.200000000004,34376.82,38616.75,39942.4,42599.909999999996,42507.41,41681.25000000001,50544.54,55953.799999999996,41741.8,41726.51,43370.83000000001,36503.409999999996,790726.6100000001
39.0,170868.25,119562.86000000002,65850.33,44017.04,49774.92999999999,41769.299999999996,49138.31,58500.8,64484.159999999996,74805.46,84241.40000000001,82077.57,88504.26999999999,101172.29,106508.27999999998,118002.03999999998,128223.89,133331.83,174219.24,152199.83000000002,126413.73999999999,129434.81000000001,145810.25,170674.31,2479585.19
40.0,616596.6799999999,365837.91000000003,190081.58,107510.61,66417.62,36749.93,66699.2,81917.59999999999,105552.79999999997,102556.13,114029.36,149895.00000000003,172772.17,207545.17,255047.87,279926.45,311264.96,367116.88999999996,507141.86,599871.44,650263.36,771119.31,854352.1,808096.6900000001,7788362.69
41.0,1490572.6300000001,1037252.44,698200.73,491842.09,402458.62000000005,228526.29,299199.5,515790.00000000006,679153.5800000001,723715.1000000001,780228.12,816001.54,896136.2600000001,946756.2300000001,1026627.53,1195725.35,1282142.8,1439057.2600000002,1707664.18,1726864.57,1702547.27,1798640.8900000001,1898706.8800000001,1793622.48,25577432.340000004
42.0,1532959.3800000001,1147649.02,810042.19,614825.6599999999,549803.75,272237.95,275942.08,495741.45,555882.8300000001,563179.41,563772.6500000001,574978.5900000001,628233.4099999999,679102.3400000001,740224.7600000002,856355.2400000002,926331.7100000001,1015531.4500000001,1240780.2000000004,1275203.4100000001,1358268.1900000002,1514051.54,1661472.8000000003,1734140.37,21586710.380000003
43.0,648784.74,368613.68,209600.13999999998,135174.35,115634.01,157061.89,414120.1200000001,1113886.91,1622204.1,1951114.2399999998,2921407.91,3423700.5999999996,3092062.08,2881239.23,2977452.09,2952804.96,2453069.77,2241320.6799999997,2457900.7600000002,1996980.13,1508309.64,1498225.6,1442969.64,1067781.28,39651418.55
44.0,8909.37,6414.91,4997.75,4743.5,3630.0,2232.7,2222.63,2491.0299999999997,4818.5,8278.439999999999,9349.48,14935.11,14357.0,5680.76,4416.63,3956.01,3107.5,4930.62,6447.41,9853.0,8180.7,7822.5,10161.9,8410.89,160348.34
