dropoff_taxizone_id,dropoff_hour,dropoff_weekday,average_fare,total_rides,total_fare,average_trip_distance,total_trip_distance
261.0,1,1,16.174985517740765,2762,44675.31,4.786817523533671,13221.189999999999
261.0,1,2,14.476171511627907,3440,49798.03,4.060633720930232,13968.58
261.0,1,3,14.178852386237512,4505,63875.729999999996,3.9754295227524983,17909.310000000005
261.0,1,4,14.3672569239835,6788,97524.94,3.9399012964054214,26744.05
261.0,1,5,13.096823806204249,11476,150299.14999999997,3.4011188567445103,39031.24
261.0,1,6,12.545299007344042,12391,155448.80000000002,3.130874021467194,38794.66
261.0,2,0,14.942411838790932,1588,23728.55,4.220125944584383,6701.5599999999995
261.0,2,1,13.782880685563615,1517,20908.630000000005,3.9552340145023073,6000.09
261.0,2,2,12.884751243781094,2010,25898.35,3.5438009950248754,7123.04
261.0,2,3,12.898560575769691,2501,32259.3,3.5119032387045177,8783.269999999999
261.0,2,4,13.090086767895878,4149,54310.77,3.5434128705712227,14701.620000000003
261.0,2,5,12.2784988850598,9866,121139.67,3.1387228866815327,30966.640000000003
261.0,2,6,11.9156678630323,10309,122838.62,3.00167329517897,30944.250000000004
261.0,3,0,14.168212121212122,990,14026.53,3.976808080808081,3937.04
261.0,3,1,13.155599128540306,918,12076.84,3.653834422657952,3354.22
261.0,3,2,12.465415309446255,1228,15307.53,3.331612377850163,4091.2200000000003
261.0,3,3,12.118635170603675,1524,18468.8,3.186528871391076,4856.27
261.0,3,4,12.288422046055116,2649,32552.030000000002,3.25847489618724,8631.699999999999
261.0,3,5,11.960108035111412,7405,88564.6,3.0715408507765023,22744.76
261.0,3,6,11.886580793559515,8695,103353.81999999999,3.0201610120759055,26260.3
261.0,4,0,13.336263736263737,910,12136.0,3.6754615384615383,3344.67
261.0,4,1,12.843364485981308,856,10993.92,3.5674532710280373,3053.74
261.0,4,2,12.545712890625,1024,12846.81,3.3416992187499996,3421.8999999999996
261.0,4,3,12.9819946571683,1123,14578.78,3.559813000890472,3997.67
261.0,4,4,12.532136482939633,1905,23873.72,3.2961364829396325,6279.139999999999
261.0,4,5,12.28690284259652,4714,57920.46,3.183888417479847,15008.85
261.0,4,6,12.137867490824801,5177,62837.74,3.1449739231214995,16281.530000000002
261.0,5,0,14.465528673835125,1116,16143.53,4.057356630824373,4528.01
261.0,5,1,14.46295025728988,1166,16863.8,4.151861063464837,4841.07
261.0,5,2,14.08042868920033,1213,17079.56,4.094525968672712,4966.66
261.0,5,3,14.335975308641975,1215,17418.21,4.113382716049383,4997.76
261.0,5,4,13.546577129700692,1303,17651.190000000002,3.7882578664620103,4936.099999999999
261.0,5,5,13.42591645885287,1604,21535.170000000002,3.6952306733167086,5927.150000000001
261.0,5,6,13.325199999999999,1500,19987.8,3.6505666666666667,5475.85
261.0,6,0,15.626969166082691,2854,44599.37,4.672876664330764,13336.390000000001
261.0,6,1,14.825170473353195,3021,44786.840000000004,4.280208540218471,12930.51
261.0,6,2,14.894406725888324,3152,46947.17,4.294888959390863,13537.49
261.0,6,3,14.801686437960885,3119,46166.46,4.223879448541199,13174.28
261.0,6,4,15.227371167645142,3066,46687.12,4.368219178082192,13392.960000000003
261.0,6,5,16.515989304812837,1683,27796.410000000003,4.93174688057041,8300.13
261.0,6,6,16.004234154929577,1136,18180.81,4.645378521126761,5277.150000000001
261.0,7,0,17.48447980643961,5373,93944.11000000002,5.0268434766424726,27009.230000000003
261.0,7,1,16.797428000665892,6007,100902.15000000001,4.666247711003829,28030.15
261.0,7,2,16.380092204526402,5965,97707.25,4.501020955574183,26848.59
261.0,7,3,16.585587541293062,6357,105434.58,4.572535787321064,29067.610000000004
261.0,7,4,16.134070181386672,5899,95174.87999999999,4.422288523478556,26087.079999999998
261.0,7,5,16.084207589285718,2688,43234.350000000006,4.7009895833333335,12636.26
