dropoff_taxizone_id,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
27.0,55.24276804915516,3255,179815.21000000005,19.20692780337941,10.615355724802262
28.0,26.17479640623588,88264,2310292.2300000037,8.113401839934737,6.570056575561595
29.0,45.332035412449024,31119,1410687.6100000013,15.114730550467554,6.7757630057035465
30.0,41.926408746846086,1189,49850.49999999999,13.827039529015979,8.722029992480744
31.0,36.72917716972506,15313,562433.8899999999,11.8338052635016,9.858458904957292
32.0,37.95527079415037,26053,988848.6699999997,12.350054120446782,4.72510258684557
33.0,19.89764008661667,867731,17265799.12999997,5.483993956652482,16.727768281880337
34.0,18.290566191004846,36931,675488.8999999999,4.68294522217108,15.099613650529816
35.0,30.750445416040602,51233,1575437.5700000082,8.65703296703297,3.252390739552177
36.0,24.239591923782186,250860,6080744.029999999,6.785814358606409,13.162357438865973
37.0,23.372615344353378,397397,9288207.219999999,6.363805715694885,12.518112745544789
38.0,30.410222675178808,26002,790726.6099999994,9.77658949311592,4.671847837413492
39.0,34.8323081353696,71183,2479468.1900000144,10.7140209038675,4.232778873521277
40.0,23.21403505791322,335502,7788355.190000001,6.775457612771299,18.0166158992793
41.0,13.299771435464947,1923133,25577229.34000001,3.2615262074958107,12.408518750715402
42.0,16.456583679758012,1311733,21586643.880000014,4.373690568126276,10.341260938595397
43.0,10.749088808627842,3688797,39651206.54999996,2.0966503740921576,14.504016525124774
44.0,86.16246104245029,1861,160348.34,30.832713594841476,9.289119669629612
45.0,13.522917850116217,834073,11279100.659999983,2.9877539016368884,12.46783134829876
46.0,48.16644846217789,4812,231776.95,16.581506650041565,11.350910355696053
47.0,27.73082581109366,30576,847897.7299999997,8.14035975928833,3.2998370570482836
48.0,11.567976834785721,8228631,95188612.78999966,2.319747864498973,14.546064245293728
49.0,22.134463445404165,516816,11439444.86,6.034527704250648,15.721216613162943
50.0,10.808226110580986,3512936,37968606.59999993,2.1347866969394778,15.474069452587745
51.0,42.595381366000645,37877,1613385.2600000065,13.902355519180503,4.196781528402963
52.0,21.7304983147797,246852,5364216.969999999,6.182014081311868,17.73802984933375
53.0,29.917164627328187,31301,936437.1699999996,9.534842337305516,7.616591526384101
54.0,22.185804226838748,83372,1849674.87,6.4823164851508865,17.00095240657896
55.0,46.13884942512834,36095,1665381.7700000075,15.281079373874515,6.035146161652873
56.0,24.808974158269617,90706,2250322.810000004,7.532418913853547,4.727143456302665
57.0,23.549579345807743,14002,329741.21,7.004476503356661,8.006076995360221
